"NUM OF MASTER 
PARAMS",Num of Strings,Num of Groups,List Descriptor String,Data to AUTOMATICALLY DROP,Num of Outputs,,,,,,,,,,,,,,,,,,,
5,6,1,CN_DB_V8,1233,1,,,,,,,,,,,,,,,,,,,
DATAID,T/V/L/U,STRINGS,,,,,,GROUPS, PARAMETERS,,,,,,,,,,,,,,,
DATAid,T/V/L,Compund Group,Compound,SMILES,Formula,Source,Method,Null,CN (Exp),Mor32e,L/Bw,nROR,ESpm03d,nROH,CIC1,RDF090m,nR=Cs,nOHp,nHDon,DISPm,O-059,S3K,O-056,Mor16u
1074,L,Aldehydes,isobutyraldehyde,CC(C)C=O,C4H8O,Dahmen/Marquadt (ASG),IQT,0,19.6,0.141,2.79,0,3.54,0,1.665,0,0,0,0,12.357,0,3.675,0,0.124
1075,L,Aromatics,dibenzylether,C1=CC=C(C=C1)COCC2=CC=CC=C2,C14H14O,Dahmen/Marquadt (ASG),IQT,0,6.7,-0.064,11.53,1,3.623,0,2.705,0.109,0,0,0,1.076,1,3.224,0,0.084
1076,L,Aromatics,benzaldehyde dimethyl acetal,COC(C1=CC=CC=C1)OC,C9H12O2,Dahmen/Marquadt (ASG),IQT,0,8.9,0.01,3.81,2,3.799,0,2.038,0,0,0,0,5.09,2,2.034,0,0.019
1077,L,Aromatics,"2,6-dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1,C12H12,NREL (2014),Blend (IQT/CFR?),0,-7,-0.148,4.56,0,3.52,0,2.189,0.016,0,0,0,0.003,0,1.361,0,0.004
1078,L,Aromatics,tert-butylbenzene,CC(C)(C)c1ccccc1,C10H14,Creton,?,0,-1,0.153,3.34,0,3.726,0,2.354,0,0,0,0,7.21,0,1.856,0,0.386
1079,L,Aromatics,4-methoxybenzaldehyde,COC1=CC=C(C=C1)C=O,C8H8O2,Dahmen/Marquadt (ASG),IQT,0,25.1,-0.028,6.38,0,3.82,0,1.354,0,0,0,0,7.634,0,1.666,0,0.006
1080,L,Aromatics,n-hexylbenzene,CCCCCCc1ccccc1,C12H18,NREL (2014),Unknown,0,26,0.437,18.84,0,2.598,0,2.644,0.421,0,0,0,11.163,0,3.999,0,0.71
1081,L,Aromatics,1-methylnaphthalene,Cc1cccc2ccccc12,C11H10,NREL (2014),CFR,0,0,-0.154,1.64,0,3.152,0,2.193,0,0,0,0,2.957,0,1.007,0,0.119
1082,L,Aromatics,(2E)-phenylundec-2-ene,CCCCCCCC/C=C(\C)/c1ccccc1,C17H26,Creton,?,0,23,0.699,20.05,0,3.081,0,3.002,0.525,1,0,0,15.65,0,6.308,0,1.22
1083,L,Aromatics,2-octylnaphthalene,CCCCCCCCc1ccc2ccccc2c1,C18H24,NREL (2014),Unknown,0,18,0.587,21.19,0,3.236,0,3.007,1.747,0,0,0,20.589,0,4.153,0,0.659
1084,L,Aromatics,"1,3-xylene",Cc1cccc(C)c1,C8H10,?,?,0,1,-0.162,1.99,0,3.081,0,1.973,0,0,0,0,2.785,0,1.353,0,0.357
1085,L,Aromatics,2-methyl-2-phenylheptadecane,CCCCCCCCCCCCCCCC(C)(C)c1ccccc1,C24H42,NREL (2014),Unknown,0,39,1.824,54.12,0,3.726,0,4.152,4.747,0,0,0,16.536,0,10.664,0,1.977
1086,L,Aromatics,4-isopropyltoluene,Cc1ccc(cc1)C(C)C,C10H14,?,?,0,2,0.029,6.16,0,3.462,0,2.217,0,0,0,0,3.061,0,1.856,0,0.423
1087,L,Aromatics,2-tert-butylnaphthalene,CC(C)(C)c1ccc2ccccc2c1,C14H16,?,?,0,3,0.062,4.95,0,3.98,0,2.486,0.003,0,0,0,9.673,0,1.821,0,-0.029
1088,L,Aromatics,n-heptylbenzene,CCCCCCCc1ccccc1,C13H20,NREL (2014),Unknown,0,35,0.537,25.42,0,2.598,0,2.831,0.403,0,0,0,11.304,0,4.717,0,0.793
1089,L,Aromatics,octyltetralin,CCCCCCCCC1CCCc2ccccc12,C18H28,NREL (2014),Unknown,0,18,0.508,11.53,0,3.524,0,3.404,2.749,0,0,0,12.214,0,4.137,0,0.936
1090,L,Aromatics,"1,2-diphenylethane",c1ccc(cc1)CCc1ccccc1,C14H14,NREL (2014),CFR,0,1,-0.092,10.11,0,3.253,0,2.801,0.382,0,0,0,0.002,0,2.723,0,0.433
1091,L,Aromatics,3-ethyl-3-(beta-naphthyl)nonane,CCCCCCC(CC)(CC)c1ccc2ccccc2c1,C21H30,NREL (2014),Unknown,0,13,0.806,12.78,0,3.98,0,3.328,0.917,0,0,0,11.748,0,3.67,0,0.401
1092,L,Aromatics,(2Z)-phenylundec-2-ene,CCCCCCCC/C=C(/C)\c1ccccc1,C17H26,Creton,?,0,23,0.637,7.69,0,3.081,0,3.002,0.905,1,0,0,11.337,0,6.308,0,1.176
1093,L,Aromatics,sec-(R)-butylbenzene,CC[C@@H](C)c1ccccc1,C10H14,NREL (2014),Blend (IQT/CFR?),0,6,-0.064,6.35,0,3.067,0,2.24,0,0,0,0,6.781,0,1.856,0,0.474
1094,L,Aromatics,sec-(S)-butylbenzene,CC[C@H](C)c1ccccc1,C10H14,NREL (2014),Blend (IQT/CFR?),0,6,-0.062,6.34,0,3.067,0,2.24,0,0,0,0,6.964,0,1.856,0,0.479
1095,L,Aromatics,2-methyl-2-(beta-naphthyl)hexane,CCCCC(C)(C)c1ccc2ccccc2c1,C17H22,NREL (2014),Unknown,0,10,0.455,9.14,0,3.98,0,2.806,0.429,0,0,0,11.777,0,2.688,0,0.247
1096,L,Aromatics,4-methyl-4-(beta-naphthyl)heptane,CCCC(C)(CCC)c1ccc2ccccc2c1,C18H24,NREL (2014),Unknown,0,9,0.581,5.22,0,3.98,0,2.942,0.281,0,0,0,12.986,0,2.769,0,0.165
1097,L,Aromatics,2-methyl-2-(beta-naphthyl)decane,CCCCCCCCC(C)(C)c1ccc2ccccc2c1,C21H30,NREL (2014),Unknown,0,18,0.839,19.67,0,3.98,0,3.328,3.497,0,0,0,17.038,0,4.593,0,0.488
1098,L,Aromatics,"1,3-diethylbenzene",CCc1cccc(CC)c1,C10H14,NREL (2014),Blend (Percentage? Method?),0,5,0.091,2.64,0,3.253,0,2.301,0,0,0,0,4.832,0,1.856,0,0.188
1099,L,Aromatics,1-butylnaphthalene,CCCCc1cccc2ccccc12,C14H16,NREL (2014),Unknown,0,6,0.198,2.91,0,3.236,0,2.394,0.004,0,0,0,11.747,0,1.978,0,0.325
1100,L,Aromatics,Butylbenzene ,CCCCC1=CC=CC=C1,C10H14,NREL (2014),IQT,0,12,0.205,9.29,0,2.598,0,2.24,0,0,0,0,10.631,0,2.576,0,0.515
