"DATAID","ASSIGNMENT","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Name","SMILES","Target","SpMax6_Bhs","R_TpiPCTPC","AATS3p","VP-0","SIC1","nsssSnH","MIC0","nN","nC","CIC2","R_TpiPCTPC","MLFER_L","maxsAsH2","WPOL","RNCG"
"UMLYSI0077","L","","C1CC1C2=CC=CC=C2","343.9","1.4528605700645412","2.84","1.2943398061073859","5.37831517751085","0.5436917698564837","0.0","6.618775012237978","0","9","1.492869893505277","2.84","4.545999999999999","0.0","9.0","0.13637151366576736"
"UMLYSI0078","L","","C1CCC2=CC=CC=C2C1","336","1.7745947135899593","3.093167701863354","1.2902161907497358","6.137828201504693","0.5311265493632514","0.0","6.685280238679743","0","10","1.545454545454545","3.093167701863354","5.25","0.0","12.0","0.12801168559645681"
"UMLYSI0079","L","","CC1=CC=C(C=C1)C(C)C","330.3","2.2018609773982663","2.860215053763441","1.3699651207606272","6.886751345948129","0.5163602670277845","0.0","6.772325919164824","0","10","1.5943609377704338","2.860215053763441","4.666","0.0","11.0","0.11567533420589901"
"UMLYSI0080","L","","CCCCCCCCCCCCCCC1=CC=CC=C1","330.3","2.973836108565599","1.9674418604651163","1.0651674809114053","13.579139501373252","0.3335124733723093","0.0","6.792227134713073","0","20","3.118107341573058","1.9674418604651163","9.907","0.0","19.0","0.060570267133364344"
"UMLYSI0081","V","","CC1=CC=CC(=C1)C=C","322.4","1.4176936861950722","3.4285714285714284","1.4679007554113153","5.593858127134677","0.5537636657799017","0.0","6.618775012237978","0","9","1.0718172619263293","3.4285714285714284","4.287999999999999","0.0","9.0","0.1959668672888349"
"UMLYSI0082","L","","CCC1=CC(=CC=C1)CC","320.9","1.8166668389954592","2.882978723404255","1.2912673083899222","6.723614639131599","0.4981849093623235","0.0","6.772325919164824","0","10","1.64624062518029","2.882978723404255","4.894","0.0","11.0","0.11964436182883599"
"UMLYSI0083","L","","C1=CC=C(C=C1)C(=O)C2=CC=CC=C2","319.8","2.702940205684193","5.4298245614035086","1.4936785335758387","7.681750982360123","0.3780523296993274","0.0","9.335450613424666","0","13","2.447043998050024","5.4298245614035086","7.186999999999999","0.0","18.0","0.33417209001903253"
"UMLYSI0084","L","","CCCCCCCCCCCCCC1=CC=CC=C1","319.8","2.9094328062184394","2.019607843137255","1.0693525066062675","12.872032720186704","0.34442057926557046","0.0","6.793558663561659","0","19","2.9756124725836295","2.019607843137255","9.408000000000001","0.0","18.0","0.06370666296556778"
"UMLYSI0085","L","","CC1=CC=C(C=C1)C=C","318.8","1.3830812666560066","3.4285714285714284","1.4679007554113153","5.593858127134677","0.5537636657799017","0.0","6.618775012237978","0","9","1.1770804198210665","3.4285714285714284","4.287999999999999","0.0","9.0","0.1959576385673406"
"UMLYSI0086","L","","CC1=C(C(=CC=C1)C)C","315.1","1.8734439496505626","2.9615384615384617","1.551776355633283","6.232050807568878","0.4845017046935283","0.0","6.751545309820625","0","9","2.0018619055860833","2.9615384615384617","4.372","0.0","11.0","0.14056475604326102"
"UMLYSI0087","T","","C=CCC1=CC=CC=C1","310.9","1.248253033729713","3.32","1.3311495607781634","5.37831517751085","0.5340187054633102","0.0","6.618775012237978","0","9","1.177080419821066","3.32","4.311","0.0","8.0","0.18816661886852612"
"UMLYSI0088","L","","CC1=CC(=CC(=C1)C)C","310.9","2.205891491029564","2.923076923076923","1.500164853846155","6.232050807568878","0.4845017046935283","0.0","6.751545309820625","0","9","2.2642321438873663","2.923076923076923","4.372","0.0","9.0","0.12802816381618634"
"UMLYSI0089","L","","CC1=CC(=C(C=C1)C)C","308.3","1.8164333508532526","2.923076923076923","1.525970604739719","6.232050807568878","0.4845017046935283","0.0","6.751545309820625","0","9","2.001861905586084","2.923076923076923","4.372","0.0","10.0","0.1342845608446422"
"UMLYSI0090","L","","CCCCCCCCCCCCC1=CC=CC=C1","304.1","2.8889080311840782","2.077720207253886","1.0741353931146815","12.164925939000156","0.3564006076591202","0.0","6.794779896422575","0","18","2.824124528677313","2.077720207253886","8.909","0.0","17.0","0.06718560853692015"
"UMLYSI0091","L","","C#CCCC1=CC=CC=C1","298.9","1.6298335332998897","3.611111111111111","1.3567130592198011","5.878315177510851","0.6388269278958555","0.0","6.503912516","0","10","1.1182263988300147","3.611111111111111","4.429","0.0","9.0","0.20203363810089778"
"UMLYSI0092","L","","CCCCCCCCCCCC1=CC=CC=C1","293.7","2.8821705286235852","2.142857142857143","1.0796541083166982","11.457819157813608","0.3696095401334511","0.0","6.795811890646572","0","17","2.662878887980635","2.142857142857143","8.41","0.0","16.0","0.07106646415275296"
"UMLYSI0093","V","","CC(C)(C)C1=CC=CC=C1","291.1","2.5450541564162688","2.7888888888888888","1.4052699946184442","6.886751345948131","0.48651439847171934","0.0","6.772325919164824","0","10","2.1520308538226907","2.7888888888888888","4.505","0.0","11.0","0.11791250364354353"
"UMLYSI0094","L","","CC(=C)C1=CC=CC=C1","286.4","1.1779838178311157","3.32","1.4679007554113153","5.593858127134677","0.5537636657799017","0.0","6.618775012237978","0","9","1.3220744988823014","3.32","4.287999999999999","0.0","9.0","0.19010662871431125"
